,x_position,u_velo,y_position,psi_hat,vm_velo,beta,r_angvelo,n_prop,delta_rudder_p,delta_rudder_s,physical_time,delta_rudder_p_deg,delta_rudder_s_deg,X,Y,N,T,FNp,FT1,FNs,FT2,velocity
121,0,0.437,0,0,0,0,0,8.15,0.698132,1.22173,0,40,70,-0.21991,-0.24792,0.32496,0.15337,0.12834,0.0055,0.18249,-0.00896,0.45337
122,0,0.437,0,0,0,0,0,8.15,0.698132,1.396263,0,40,80,-0.21556,-0.19609,0.2691,0.15947,0.12815,0.00546,0.18042,-0.01064,0.45309
123,0,0.437,0,0,0,0,0,8.15,0.698132,1.570796,0,40,90,-0.20886,-0.15719,0.20092,0.16621,0.12128,0.00481,0.18413,-0.01362,0.45068
124,0,0.437,0,0,0,0,0,8.15,0.698132,1.745329,0,40,100,-0.21197,-0.12642,0.15507,0.17555,0.12549,0.00454,0.18917,-0.01753,0.45924
125,0,0.437,0,0,0,0,0,8.15,0.872665,0.872665,0,50,50,-0.20301,-0.30168,0.41374,0.15283,0.13453,0.00246,0.17211,-0.01943,0.45938
126,0,0.437,0,0,0,0,0,8.15,0.872665,1.047198,0,50,60,-0.23992,-0.27936,0.37612,0.15654,0.14316,0.00252,0.18001,-0.01302,0.45502
127,0,0.437,0,0,0,0,0,8.15,0.872665,1.22173,0,50,70,-0.22815,-0.23987,0.31922,0.15551,0.13651,0.00273,0.18461,-0.01164,0.45183
128,0,0.437,0,0,0,0,0,8.15,0.872665,1.396263,0,50,80,-0.23344,-0.16896,0.22453,0.15983,0.11929,0.00251,0.19182,-0.01364,0.45641
129,0,0.437,0,0,0,0,0,8.15,0.872665,1.570796,0,50,90,-0.22307,-0.12956,0.16814,0.16462,0.1204,0.00289,0.20024,-0.01756,0.45993
130,0,0.437,0,0,0,0,0,8.15,0.872665,1.745329,0,50,100,-0.22325,-0.088,0.11767,0.17889,0.1276,0.00234,0.19834,-0.0202,0.45022
131,0,0.437,0,0,0,0,0,8.15,1.047198,1.047198,0,60,60,-0.21397,-0.2321,0.31145,0.15864,0.1245,-0.0009,0.1816,-0.01799,0.45917
132,0,0.437,0,0,0,0,0,8.15,1.047198,1.22173,0,60,70,-0.23658,-0.18768,0.26944,0.15502,0.11553,-0.00048,0.19741,-0.02086,0.45795
133,0,0.437,0,0,0,0,0,8.15,1.047198,1.396263,0,60,80,-0.23738,-0.17133,0.19965,0.16073,0.11592,0.00035,0.20649,-0.02179,0.45458
134,0,0.437,0,0,0,0,0,8.15,1.047198,1.570796,0,60,90,-0.25532,-0.10808,0.15247,0.17051,0.12204,0.00044,0.21178,-0.02329,0.45878
135,0,0.437,0,0,0,0,0,8.15,1.047198,1.745329,0,60,100,-0.23798,-0.0833,0.08961,0.17664,0.12643,0.00015,0.2115,-0.02443,0.4526
